DATE,EXPINF10YR
2004-01-01,2.3167501
2004-02-01,2.2754574
2004-03-01,2.1716856
2004-04-01,2.1480768
2004-05-01,2.4546894
2004-06-01,2.5673682
2004-07-01,2.501857
2004-08-01,2.4716518
2004-09-01,2.3558656
2004-10-01,2.3505515
2004-11-01,2.3070912
2004-12-01,2.3469422
2005-01-01,2.3687512
2005-02-01,2.3706533
2005-03-01,2.474904
2005-04-01,2.5215946
2005-05-01,2.4035554
2005-06-01,2.2949612
2005-07-01,2.359812
2005-08-01,2.4709578
2005-09-01,2.3536565
2005-10-01,2.5492617
2005-11-01,2.5758744
2005-12-01,2.5702512
2006-01-01,2.4488727
2006-02-01,2.5135642
2006-03-01,2.4741254
2006-04-01,2.6257421
2006-05-01,2.6635907
2006-06-01,2.6658287
2006-07-01,2.721923
2006-08-01,2.6194038
2006-09-01,2.5174803
2006-10-01,2.485753
2006-11-01,2.3789791
2006-12-01,2.3467956
2007-01-01,2.5293118
2007-02-01,2.5756304
2007-03-01,2.4594415
2007-04-01,2.4786022
2007-05-01,2.524481
2007-06-01,2.6718196
2007-07-01,2.6399293
2007-08-01,2.4898174
2007-09-01,2.4115217
2007-10-01,2.4520543
2007-11-01,2.3840553
2007-12-01,2.1470427
2008-01-01,2.174666
2008-02-01,2.0725733
2008-03-01,1.9412978
2008-04-01,2.0011092
2008-05-01,2.2201559
2008-06-01,2.3034655
2008-07-01,2.343078
2008-08-01,2.3471243
2008-09-01,2.2096956
2008-10-01,2.1066821
2008-11-01,2.0072092
2008-12-01,1.5806981
2009-01-01,1.621304
2009-02-01,1.6701025
2009-03-01,1.6327655
2009-04-01,1.6962653
2009-05-01,1.8570946
2009-06-01,2.0073266
2009-07-01,2.0420241
2009-08-01,2.0934921
2009-09-01,2.0688171
2009-10-01,1.9561555
2009-11-01,2.0233626
2009-12-01,1.9064085
2010-01-01,2.0911325
2010-02-01,2.0165529
2010-03-01,2.0067599
2010-04-01,2.0631275
2010-05-01,2.0234055
2010-06-01,1.8811319
2010-07-01,1.7304709
2010-08-01,1.7086811
2010-09-01,1.580762
2010-10-01,1.5742367
2010-11-01,1.5460638
2010-12-01,1.6945193
2011-01-01,1.9670054
2011-02-01,1.9901515
2011-03-01,2.048335
2011-04-01,2.099215
2011-05-01,2.032293
2011-06-01,1.894122
2011-07-01,1.9889734
2011-08-01,1.7313642
2011-09-01,1.5583105
2011-10-01,1.5883361
2011-11-01,1.6085842
2011-12-01,1.6422125
2012-01-01,1.6011744
2012-02-01,1.5458862
2012-03-01,1.5801475
2012-04-01,1.6497201
2012-05-01,1.5553438
2012-06-01,1.4156358
2012-07-01,1.4852789
2012-08-01,1.480409
2012-09-01,1.5292492
2012-10-01,1.5026504
2012-11-01,1.5179508
2012-12-01,1.5262619
2013-01-01,1.4890559
2013-02-01,1.5381946
2013-03-01,1.4118858
2013-04-01,1.4618435
2013-05-01,1.4138488
2013-06-01,1.5503442
2013-07-01,1.634568
2013-08-01,1.7580797
2013-09-01,1.8688006
2013-10-01,1.7246934
2013-11-01,1.7163045
2013-12-01,1.7851389
2014-01-01,1.8490071
2014-02-01,1.7690838
2014-03-01,1.7451938
2014-04-01,1.87485
2014-05-01,1.8687902
2014-06-01,1.8300901
2014-07-01,1.8823807
2014-08-01,1.8790741
2014-09-01,1.9131183
2014-10-01,1.8727096
2014-11-01,1.8157437
2014-12-01,1.8521375
2015-01-01,1.6943704
2015-02-01,1.5339526
2015-03-01,1.7034873
2015-04-01,1.7122854
2015-05-01,1.793767
2015-06-01,1.8240356
2015-07-01,1.8829511
2015-08-01,1.817785
2015-09-01,1.83859304
2015-10-01,1.7425951
2015-11-01,1.802926
2015-12-01,1.81273123
2016-01-01,1.85042813
2016-02-01,1.7071694
2016-03-01,1.64890624
2016-04-01,1.71603963
2016-05-01,1.74893221
2016-06-01,1.72374515
2016-07-01,1.63004592
2016-08-01,1.64768851
2016-09-01,1.72789683
2016-10-01,1.70459005
2016-11-01,1.75829573
2016-12-01,1.95369171
2017-01-01,1.92241681
2017-02-01,1.92235723
2017-03-01,1.88654098
2017-04-01,1.85758237
2017-05-01,1.84054543
2017-06-01,1.73020088
2017-07-01,1.84955694
2017-08-01,1.8153385
2017-09-01,1.84386995
2017-10-01,1.89298914
2017-11-01,1.92496508
2017-12-01,2.01118703
2018-01-01,1.95641907
2018-02-01,2.07333165
2018-03-01,1.97024161
2018-04-01,1.98436343
2018-05-01,2.09161804
2018-06-01,2.04590296
2018-07-01,2.09571821
2018-08-01,2.14036185
2018-09-01,2.13615266
2018-10-01,2.16677604
2018-11-01,2.15417847
2018-12-01,2.09134924
2019-01-01,1.95832446
2019-02-01,1.97069441
2019-03-01,1.69207771
2019-04-01,1.74737586
2019-05-01,1.80265678
2019-06-01,1.63705342
2019-07-01,1.67609847
2019-08-01,1.65909585
2019-09-01,1.56044845
2019-10-01,1.64198724
2019-11-01,1.67935282
2019-12-01,1.7145255
2020-01-01,1.7346773
2020-02-01,1.61900368
2020-03-01,1.26977517
2020-04-01,1.15834975
2020-05-01,1.16234276
2020-06-01,1.23186673
2020-07-01,1.34690049
2020-08-01,1.34095578
2020-09-01,1.35099923
2020-10-01,1.33753773
2020-11-01,1.37663264
2020-12-01,1.41717038
2021-01-01,1.37942385
2021-02-01,1.42757598
2021-03-01,1.4974036
2021-04-01,1.58314707
2021-05-01,1.57835302
2021-06-01,1.59628851
2021-07-01,1.62481074
2021-08-01,1.58016294
2021-09-01,1.64278592
2021-10-01,1.61273952
2021-11-01,1.75849648
2021-12-01,1.75897506
2022-01-01,1.7965635
2022-02-01,1.92112169
2022-03-01,1.94721641
2022-04-01,2.21125412
2022-05-01,2.37039462
2022-06-01,2.40126382
2022-07-01,2.22257318
2022-08-01,2.09959153
2022-09-01,2.36598926
2022-10-01,2.37080895
2022-11-01,2.45466999
2022-12-01,2.21937769
2023-01-01,2.28560928
2023-02-01,2.09389587
